id_hospital;codigo_municipio;nome_municipio_hospital;uf_hospital;estado_hospital;latitude_hospital;longitude_hospital;leitos_totais;leitos_sus;leitos_nao_sus;esfera;tipo_unidade;nivel_hierarquico;natureza_juridica;porte_hospitalar;alta_complexidade;percentual_sus
0008028;353440;Osasco;SP;Sao Paulo;-23,5324;-46,7916;225;201;24;;05;;1244;Grande Porte;Baixa/Media Complexidade;89,33
0008036;353440;Osasco;SP;Sao Paulo;-23,5324;-46,7916;183;175;8;;07;;1244;Grande Porte;Baixa/Media Complexidade;95,63
0008052;353440;Osasco;SP;Sao Paulo;-23,5324;-46,7916;250;250;0;;05;;1023;Grande Porte;Baixa/Media Complexidade;100,0
0008087;353440;Osasco;SP;Sao Paulo;-23,5324;-46,7916;22;22;0;;20;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
0008141;353440;Osasco;SP;Sao Paulo;-23,5324;-46,7916;12;12;0;;20;;1244;Micro Porte;Baixa/Media Complexidade;100,0
0008494;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;32;32;0;;73;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
0008516;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;7;7;0;;70;;1244;Micro Porte;Baixa/Media Complexidade;100,0
0008729;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;8;8;0;;70;;1244;Micro Porte;Baixa/Media Complexidade;100,0
0008796;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;10;10;0;;70;;1244;Micro Porte;Baixa/Media Complexidade;100,0
0008923;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;296;296;0;;05;;1244;Grande Porte;Baixa/Media Complexidade;100,0
0009164;354990;São José dos Campos;SP;Sao Paulo;-23,1896;-45,8841;1;1;0;;15;;1244;Micro Porte;Baixa/Media Complexidade;100,0
0009539;354990;São José dos Campos;SP;Sao Paulo;-23,1896;-45,8841;54;5;49;;05;;3999;Medio Porte;Baixa/Media Complexidade;9,26
0009601;354990;São José dos Campos;SP;Sao Paulo;-23,1896;-45,8841;87;72;15;;05;;3999;Medio Porte;Baixa/Media Complexidade;82,76
0009628;354990;São José dos Campos;SP;Sao Paulo;-23,1896;-45,8841;382;382;0;;05;;1244;Grande Porte;Baixa/Media Complexidade;100,0
0009636;354990;São José dos Campos;SP;Sao Paulo;-23,1896;-45,8841;174;0;174;;07;;3999;Grande Porte;Baixa/Media Complexidade;0,0
0009695;354990;São José dos Campos;SP;Sao Paulo;-23,1896;-45,8841;6;6;0;;62;;1244;Micro Porte;Baixa/Media Complexidade;100,0
0021520;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;32;32;0;;73;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
0024228;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;35;35;0;;73;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
0026417;354990;São José dos Campos;SP;Sao Paulo;-23,1896;-45,8841;44;44;0;;05;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
0042021;350850;Caçapava;SP;Sao Paulo;-23,0992;-45,7076;10;0;10;;07;;2062;Micro Porte;Baixa/Media Complexidade;0,0
0075426;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;27;0;27;;62;;2062;Pequeno Porte;Baixa/Media Complexidade;0,0
0080470;354340;Ribeirão Preto;SP;Sao Paulo;-21,1699;-47,8099;20;0;20;;05;;3999;Pequeno Porte;Baixa/Media Complexidade;0,0
0081825;350750;Botucatu;SP;Sao Paulo;-22,8837;-48,4437;80;0;80;;05;;2143;Medio Porte;Baixa/Media Complexidade;0,0
0092894;351050;Caraguatatuba;SP;Sao Paulo;-23,6125;-45,4125;201;201;0;;05;;1023;Grande Porte;Baixa/Media Complexidade;100,0
0102075;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;113;93;20;;05;;1031;Medio Porte;Baixa/Media Complexidade;82,3
0102105;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;224;204;20;;05;;1031;Grande Porte;Baixa/Media Complexidade;91,07
0115509;352850;Mairiporã;SP;Sao Paulo;-23,3171;-46,5897;35;35;0;;05;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
0127604;350570;Barueri;SP;Sao Paulo;-23,5057;-46,879;59;59;0;;05;;1244;Medio Porte;Baixa/Media Complexidade;100,0
0133647;350570;Barueri;SP;Sao Paulo;-23,5057;-46,879;8;0;8;;62;;2062;Micro Porte;Baixa/Media Complexidade;0,0
0136328;353800;Pindamonhangaba;SP;Sao Paulo;-22,9246;-45,4613;2;2;0;;15;;1244;Micro Porte;Baixa/Media Complexidade;100,0
0155993;355250;Suzano;SP;Sao Paulo;-23,5448;-46,3112;11;0;11;;36;;2062;Micro Porte;Baixa/Media Complexidade;0,0
0161438;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;216;186;30;;05;;1031;Grande Porte;Baixa/Media Complexidade;86,11
0181145;350290;Araçoiaba da Serra;SP;Sao Paulo;-23,5029;-47,6166;41;41;0;;62;;2062;Pequeno Porte;Baixa/Media Complexidade;100,0
0204714;354870;São Bernardo do Campo;SP;Sao Paulo;-23,6914;-46,5646;4;0;4;;62;;2062;Micro Porte;Baixa/Media Complexidade;0,0
0210617;353870;Piracicaba;SP;Sao Paulo;-22,7338;-47,6476;1;0;1;;62;;2054;Micro Porte;Baixa/Media Complexidade;0,0
