id_hospital;nome_hospital;codigo_municipio;nome_municipio_hospital;uf_hospital;estado_hospital;latitude_hospital;longitude_hospital;leitos_totais;leitos_sus;leitos_nao_sus;tipo_unidade;nivel_hierarquico;natureza_juridica;porte_hospitalar;alta_complexidade;percentual_sus
0008028;Hospital CNES 0008028;353440;Osasco;SP;Sao Paulo;-23,5324;-46,7916;2700;2412;288;05;;1244;Grande Porte;Baixa/Media Complexidade;89,33
0008036;Hospital CNES 0008036;353440;Osasco;SP;Sao Paulo;-23,5324;-46,7916;2196;2100;96;07;;1244;Grande Porte;Baixa/Media Complexidade;95,63
0008052;Hospital CNES 0008052;353440;Osasco;SP;Sao Paulo;-23,5324;-46,7916;3000;3000;0;05;;1023;Grande Porte;Baixa/Media Complexidade;100,0
0008087;Hospital CNES 0008087;353440;Osasco;SP;Sao Paulo;-23,5324;-46,7916;264;264;0;20;;1244;Grande Porte;Baixa/Media Complexidade;100,0
0008141;Hospital CNES 0008141;353440;Osasco;SP;Sao Paulo;-23,5324;-46,7916;144;144;0;20;;1244;Medio Porte;Baixa/Media Complexidade;100,0
0008494;Hospital CNES 0008494;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;384;384;0;73;;1244;Grande Porte;Baixa/Media Complexidade;100,0
0008516;Hospital CNES 0008516;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;84;84;0;70;;1244;Medio Porte;Baixa/Media Complexidade;100,0
0008729;Hospital CNES 0008729;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;96;96;0;70;;1244;Medio Porte;Baixa/Media Complexidade;100,0
0008796;Hospital CNES 0008796;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;120;120;0;70;;1244;Medio Porte;Baixa/Media Complexidade;100,0
0008923;Hospital CNES 0008923;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;3552;3552;0;05;;1244;Grande Porte;Baixa/Media Complexidade;100,0
0009164;Hospital CNES 0009164;354990;São José dos Campos;SP;Sao Paulo;-23,1896;-45,8841;28;28;0;15;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
0009539;Hospital CNES 0009539;354990;São José dos Campos;SP;Sao Paulo;-23,1896;-45,8841;648;60;588;05;;3999;Grande Porte;Baixa/Media Complexidade;9,26
0009601;Hospital CNES 0009601;354990;São José dos Campos;SP;Sao Paulo;-23,1896;-45,8841;1044;864;180;05;;3999;Grande Porte;Baixa/Media Complexidade;82,76
0009628;Hospital CNES 0009628;354990;São José dos Campos;SP;Sao Paulo;-23,1896;-45,8841;4638;4638;0;05;;1244;Grande Porte;Baixa/Media Complexidade;100,0
0009636;Hospital CNES 0009636;354990;São José dos Campos;SP;Sao Paulo;-23,1896;-45,8841;2088;0;2088;07;;3999;Grande Porte;Baixa/Media Complexidade;0,0
0009695;Hospital CNES 0009695;354990;São José dos Campos;SP;Sao Paulo;-23,1896;-45,8841;72;72;0;62;;1244;Medio Porte;Baixa/Media Complexidade;100,0
0021520;Hospital CNES 0021520;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;384;384;0;73;;1244;Grande Porte;Baixa/Media Complexidade;100,0
