codigo_municipio;nome_municipio;uf;estado;latitude;longitude
350010;Adamantina;SP;Sao Paulo;-21,682;-51,0737
350020;Adolfo;SP;Sao Paulo;-21,2325;-49,6451
350030;Aguaí;SP;Sao Paulo;-22,0572;-46,9735
350040;Águas da Prata;SP;Sao Paulo;-21,9319;-46,7176
350050;Águas de Lindóia;SP;Sao Paulo;-22,4733;-46,6314
350055;Águas de Santa Bárbara;SP;Sao Paulo;-22,8812;-49,2421
350060;Águas de São Pedro;SP;Sao Paulo;-22,5977;-47,8734
350070;Agudos;SP;Sao Paulo;-22,4694;-48,9863
350075;Alambari;SP;Sao Paulo;-23,5503;-47,898
350080;Alfredo Marcondes;SP;Sao Paulo;-21,9527;-51,414
350090;Altair;SP;Sao Paulo;-20,5242;-49,0571
350100;Altinópolis;SP;Sao Paulo;-21,0214;-47,3712
350110;Alto Alegre;SP;Sao Paulo;-21,5811;-50,168
350115;Alumínio;SP;Sao Paulo;-23,5306;-47,2546
350120;Álvares Florence;SP;Sao Paulo;-20,3203;-49,9141
350130;Álvares Machado;SP;Sao Paulo;-22,0764;-51,4722
350140;Álvaro de Carvalho;SP;Sao Paulo;-22,0841;-49,719
350150;Alvinlândia;SP;Sao Paulo;-22,4435;-49,7623
350160;Americana;SP;Sao Paulo;-22,7374;-47,3331
350170;Américo Brasiliense;SP;Sao Paulo;-21,7288;-48,1147
350180;Américo de Campos;SP;Sao Paulo;-20,2985;-49,7359
350190;Amparo;SP;Sao Paulo;-22,7088;-46,772
350200;Analândia;SP;Sao Paulo;-22,1289;-47,6619
350210;Andradina;SP;Sao Paulo;-20,8948;-51,3786
350220;Angatuba;SP;Sao Paulo;-23,4917;-48,4139
350230;Anhembi;SP;Sao Paulo;-22,793;-48,1336
350240;Anhumas;SP;Sao Paulo;-22,2934;-51,3895
350250;Aparecida;SP;Sao Paulo;-22,8495;-45,2325
350260;Aparecida d'Oeste;SP;Sao Paulo;-20,4487;-50,8835
350270;Apiaí;SP;Sao Paulo;-24,5108;-48,8443
350275;Araçariguama;SP;Sao Paulo;-23,4366;-47,0608
350280;Araçatuba;SP;Sao Paulo;-21,2076;-50,4401
350290;Araçoiaba da Serra;SP;Sao Paulo;-23,5029;-47,6166
350300;Aramina;SP;Sao Paulo;-20,0882;-47,7873
350310;Arandu;SP;Sao Paulo;-23,1386;-49,0487
350315;Arapeí;SP;Sao Paulo;-22,6717;-44,4441
350320;Araraquara;SP;Sao Paulo;-21,7845;-48,178
350330;Araras;SP;Sao Paulo;-22,3572;-47,3842
350335;Arco-Íris;SP;Sao Paulo;-21,7728;-50,466
350340;Arealva;SP;Sao Paulo;-22,031;-48,9135
350350;Areias;SP;Sao Paulo;-22,5786;-44,6992
