data_referencia,ano,mes,trimestre,dia_semana,ano_mes,tempo_id
2008-01-01,2008,1,1,Tuesday,2008-01,181
2008-02-08,2008,2,1,Friday,2008-02,968
2008-02-10,2008,2,1,Sunday,2008-02,336
2008-02-12,2008,2,1,Tuesday,2008-02,573
2008-02-17,2008,2,1,Sunday,2008-02,574
2008-02-18,2008,2,1,Monday,2008-02,1072
2008-02-20,2008,2,1,Wednesday,2008-02,575
2008-02-29,2008,2,1,Friday,2008-02,590
2008-03-01,2008,3,1,Saturday,2008-03,589
2008-03-16,2008,3,1,Sunday,2008-03,591
2008-04-01,2008,4,2,Tuesday,2008-04,593
2008-04-06,2008,4,2,Sunday,2008-04,594
2008-04-10,2008,4,2,Thursday,2008-04,592
2008-05-02,2008,5,2,Friday,2008-05,595
2008-05-07,2008,5,2,Wednesday,2008-05,596
2008-05-14,2008,5,2,Wednesday,2008-05,597
2008-06-01,2008,6,2,Sunday,2008-06,599
2008-06-02,2008,6,2,Monday,2008-06,598
2008-06-13,2008,6,2,Friday,2008-06,337
2008-07-01,2008,7,3,Tuesday,2008-07,428
2008-07-08,2008,7,3,Tuesday,2008-07,338
2008-07-16,2008,7,3,Wednesday,2008-07,600
2008-08-01,2008,8,3,Friday,2008-08,429
2008-08-03,2008,8,3,Sunday,2008-08,601
2008-08-07,2008,8,3,Thursday,2008-08,602
2008-08-09,2008,8,3,Saturday,2008-08,603
2008-08-27,2008,8,3,Wednesday,2008-08,430
2008-09-01,2008,9,3,Monday,2008-09,468
2008-09-22,2008,9,3,Monday,2008-09,431
2008-09-24,2008,9,3,Wednesday,2008-09,604
2008-10-01,2008,10,4,Wednesday,2008-10,432
2008-10-05,2008,10,4,Sunday,2008-10,605
2008-10-11,2008,10,4,Saturday,2008-10,1073
2008-10-15,2008,10,4,Wednesday,2008-10,606
2008-10-22,2008,10,4,Wednesday,2008-10,607
2008-10-28,2008,10,4,Tuesday,2008-10,249
2008-10-30,2008,10,4,Thursday,2008-10,340
2008-11-01,2008,11,4,Saturday,2008-11,608
2008-11-02,2008,11,4,Sunday,2008-11,339
2008-11-07,2008,11,4,Friday,2008-11,997
2008-11-14,2008,11,4,Friday,2008-11,611
2008-11-15,2008,11,4,Saturday,2008-11,610
2008-11-16,2008,11,4,Sunday,2008-11,609
2008-11-19,2008,11,4,Wednesday,2008-11,341
2009-01-01,2009,1,1,Thursday,2009-01,612
2009-01-16,2009,1,1,Friday,2009-01,1074
2009-01-24,2009,1,1,Saturday,2009-01,342
2009-01-28,2009,1,1,Wednesday,2009-01,447
2009-02-01,2009,2,1,Sunday,2009-02,613
2009-03-01,2009,3,1,Sunday,2009-03,1075
2009-03-16,2009,3,1,Monday,2009-03,1213
2009-04-01,2009,4,2,Wednesday,2009-04,448
2009-04-09,2009,4,2,Thursday,2009-04,614
2009-04-18,2009,4,2,Saturday,2009-04,615
2009-06-06,2009,6,2,Saturday,2009-06,616
2009-06-17,2009,6,2,Wednesday,2009-06,617
2009-07-01,2009,7,3,Wednesday,2009-07,469
2009-07-15,2009,7,3,Wednesday,2009-07,618
2009-08-01,2009,8,3,Saturday,2009-08,619
2009-08-05,2009,8,3,Wednesday,2009-08,449
2009-09-01,2009,9,3,Tuesday,2009-09,450
2009-09-09,2009,9,3,Wednesday,2009-09,1011
2009-09-11,2009,9,3,Friday,2009-09,451
2009-09-16,2009,9,3,Wednesday,2009-09,1179
2009-09-28,2009,9,3,Monday,2009-09,620
2009-10-01,2009,10,4,Thursday,2009-10,1076
2009-10-02,2009,10,4,Friday,2009-10,622
2009-10-19,2009,10,4,Monday,2009-10,621
2009-11-01,2009,11,4,Sunday,2009-11,623
2009-11-16,2009,11,4,Monday,2009-11,962
2009-11-17,2009,11,4,Tuesday,2009-11,963
2009-11-19,2009,11,4,Thursday,2009-11,1181
2009-11-20,2009,11,4,Friday,2009-11,1180
2009-12-28,2009,12,4,Monday,2009-12,624
2010-01-01,2010,1,1,Friday,2010-01,343
2010-01-05,2010,1,1,Tuesday,2010-01,964
2010-03-01,2010,3,1,Monday,2010-03,1077
2010-03-19,2010,3,1,Friday,2010-03,625
2010-03-22,2010,3,1,Monday,2010-03,808
2010-03-30,2010,3,1,Tuesday,2010-03,344
2010-04-01,2010,4,2,Thursday,2010-04,626
2010-04-28,2010,4,2,Wednesday,2010-04,1012
2010-05-06,2010,5,2,Thursday,2010-05,627
2010-05-08,2010,5,2,Saturday,2010-05,628
2010-05-11,2010,5,2,Tuesday,2010-05,345
2010-05-21,2010,5,2,Friday,2010-05,965
2010-05-23,2010,5,2,Sunday,2010-05,629
2010-06-01,2010,6,2,Tuesday,2010-06,967
2010-06-02,2010,6,2,Wednesday,2010-06,1182
2010-06-17,2010,6,2,Thursday,2010-06,966
2010-06-24,2010,6,2,Thursday,2010-06,630
2010-07-17,2010,7,3,Saturday,2010-07,631
2010-07-30,2010,7,3,Friday,2010-07,346
2010-08-01,2010,8,3,Sunday,2010-08,1078
2010-08-16,2010,8,3,Monday,2010-08,347
2010-08-18,2010,8,3,Wednesday,2010-08,810
2010-08-23,2010,8,3,Monday,2010-08,348
2010-08-25,2010,8,3,Wednesday,2010-08,1183
2010-09-01,2010,9,3,Wednesday,2010-09,182
2010-09-06,2010,9,3,Monday,2010-09,633
2010-09-14,2010,9,3,Tuesday,2010-09,632
2010-09-30,2010,9,3,Thursday,2010-09,634
2010-10-01,2010,10,4,Friday,2010-10,256
2010-11-01,2010,11,4,Monday,2010-11,470
2010-11-06,2010,11,4,Saturday,2010-11,811
2010-11-07,2010,11,4,Sunday,2010-11,635
2010-12-01,2010,12,4,Wednesday,2010-12,257
2010-12-05,2010,12,4,Sunday,2010-12,637
2010-12-10,2010,12,4,Friday,2010-12,638
2010-12-14,2010,12,4,Tuesday,2010-12,636
2011-01-01,2011,1,1,Saturday,2011-01,1159
2011-01-21,2011,1,1,Friday,2011-01,639
2011-01-27,2011,1,1,Thursday,2011-01,640
2011-02-01,2011,2,1,Tuesday,2011-02,917
2011-02-12,2011,2,1,Saturday,2011-02,641
2011-02-18,2011,2,1,Friday,2011-02,931
2011-03-01,2011,3,1,Tuesday,2011-03,1160
2011-03-02,2011,3,1,Wednesday,2011-03,1013
2011-04-01,2011,4,2,Friday,2011-04,349
2011-04-20,2011,4,2,Wednesday,2011-04,642
2011-04-25,2011,4,2,Monday,2011-04,975
2011-04-26,2011,4,2,Tuesday,2011-04,183
2011-04-27,2011,4,2,Wednesday,2011-04,932
2011-05-01,2011,5,2,Sunday,2011-05,1079
2011-06-13,2011,6,2,Monday,2011-06,643
2011-06-16,2011,6,2,Thursday,2011-06,976
2011-06-20,2011,6,2,Monday,2011-06,258
2011-06-27,2011,6,2,Monday,2011-06,977
2011-07-02,2011,7,3,Saturday,2011-07,918
2011-07-13,2011,7,3,Wednesday,2011-07,644
2011-07-14,2011,7,3,Thursday,2011-07,978
2011-07-26,2011,7,3,Tuesday,2011-07,1146
2011-08-03,2011,8,3,Wednesday,2011-08,933
2011-08-17,2011,8,3,Wednesday,2011-08,261
2011-08-24,2011,8,3,Wednesday,2011-08,260
2011-08-29,2011,8,3,Monday,2011-08,259
2011-08-30,2011,8,3,Tuesday,2011-08,350
2011-09-06,2011,9,3,Tuesday,2011-09,979
2011-09-10,2011,9,3,Saturday,2011-09,1080
2011-09-27,2011,9,3,Tuesday,2011-09,1014
2011-09-30,2011,9,3,Friday,2011-09,1015
2011-10-01,2011,10,4,Saturday,2011-10,645
