data_referencia;ano;mes;trimestre;dia_semana;ano_mes;tempo_id
2008-01-01;2008;1;1;Tuesday;2008-01;152
2008-02-18;2008;2;1;Monday;2008-02;515
2008-02-29;2008;2;1;Friday;2008-02;569
2008-04-01;2008;4;2;Tuesday;2008-04;1011
2008-06-01;2008;6;2;Sunday;2008-06;258
2008-06-13;2008;6;2;Friday;2008-06;352
2008-07-01;2008;7;3;Tuesday;2008-07;933
2008-07-08;2008;7;3;Tuesday;2008-07;1013
2008-10-01;2008;10;4;Wednesday;2008-10;505
2008-10-15;2008;10;4;Wednesday;2008-10;657
2008-10-28;2008;10;4;Tuesday;2008-10;219
2008-11-01;2008;11;4;Saturday;2008-11;445
2008-11-07;2008;11;4;Friday;2008-11;82
2008-11-16;2008;11;4;Sunday;2008-11;773
2009-01-01;2009;1;1;Thursday;2009-01;672
2009-01-16;2009;1;1;Friday;2009-01;594
2009-01-28;2009;1;1;Wednesday;2009-01;1021
2009-02-01;2009;2;1;Sunday;2009-02;654
2009-03-01;2009;3;1;Sunday;2009-03;304
2009-04-01;2009;4;2;Wednesday;2009-04;688
2009-04-18;2009;4;2;Saturday;2009-04;759
2009-06-17;2009;6;2;Wednesday;2009-06;763
2009-09-01;2009;9;3;Tuesday;2009-09;337
2009-09-11;2009;9;3;Friday;2009-09;675
2009-09-28;2009;9;3;Monday;2009-09;929
2009-10-01;2009;10;4;Thursday;2009-10;558
2009-10-02;2009;10;4;Friday;2009-10;237
2009-11-16;2009;11;4;Monday;2009-11;468
2009-11-17;2009;11;4;Tuesday;2009-11;318
2009-11-19;2009;11;4;Thursday;2009-11;583
2010-01-05;2010;1;1;Tuesday;2010-01;268
2010-03-22;2010;3;1;Monday;2010-03;495
2010-05-11;2010;5;2;Tuesday;2010-05;511
2010-05-23;2010;5;2;Sunday;2010-05;523
2010-06-01;2010;6;2;Tuesday;2010-06;497
2010-06-02;2010;6;2;Wednesday;2010-06;795
2010-08-16;2010;8;3;Monday;2010-08;345
2010-08-18;2010;8;3;Wednesday;2010-08;476
2010-08-23;2010;8;3;Monday;2010-08;376
2010-09-01;2010;9;3;Wednesday;2010-09;245
2010-09-14;2010;9;3;Tuesday;2010-09;774
2010-10-01;2010;10;4;Friday;2010-10;277
2010-11-01;2010;11;4;Monday;2010-11;439
2010-11-06;2010;11;4;Saturday;2010-11;1024
2010-11-07;2010;11;4;Sunday;2010-11;955
2010-12-05;2010;12;4;Sunday;2010-12;1018
2010-12-10;2010;12;4;Friday;2010-12;1010
2010-12-14;2010;12;4;Tuesday;2010-12;785
2011-01-01;2011;1;1;Saturday;2011-01;926
2011-02-01;2011;2;1;Tuesday;2011-02;474
2011-04-25;2011;4;2;Monday;2011-04;690
2011-04-27;2011;4;2;Wednesday;2011-04;661
